Q_model_native,dVdQ_model_native
0.0,24.99155796141218
0.0020670530819775425,23.860621203207984
0.004134106163955085,21.657570191236005
0.006201159245932628,19.572164188136412
0.00826821232791017,17.604403193909093
0.010335265409887712,15.754287208554388
0.012402318491865256,14.021816232072183
0.014469371573842798,12.406990264462593
0.01653642465582034,10.909809305725048
0.018603477737797882,9.530273355860118
0.020670530819775424,8.268382414867801
0.022737583901752966,7.124136482747531
0.02480463698373051,6.097535559500443
0.026871690065708054,5.188579645125174
0.028938743147685596,4.397268739593642
0.031005796229663138,3.6420760821199565
0.03307284931164068,3.12169679164856
0.03513990239361822,3.0205950655276865
0.037206955475595764,3.2473900863577683
0.039274008557573306,3.348708272023714
0.04134106163955085,3.159617793736629
0.04340811472152839,3.0175604134643663
0.04547516780350593,2.9763150209663536
0.047542220885483474,3.035340282363336
0.04960927396746102,3.0161200756678
0.051676327049438565,2.8835338745140007
0.05374338013141611,2.774313893487715
0.05581043321339365,2.6972390692656063
0.05787748629537119,2.642382673651582
0.059944539377348734,2.5613059914926453
0.062011592459326276,2.4538958068233114
0.06407864554130381,2.3567024970319608
0.06614569862328136,2.2772315335151916
0.06821275170525891,2.2058085342298455
0.07027980478723644,2.123630067075055
0.07234685786921399,2.0350828090855657
0.07441391095119153,1.953812862778932
0.07648096403316908,1.884260010762432
0.07854801711514661,1.8182808213088038
0.08061507019712416,1.7471359777931639
0.0826821232791017,1.6761470934242197
0.08474917636107925,1.6135572844151511
0.08681622944305678,1.562127534989827
0.08888328252503433,1.5088529722631847
0.09095033560701186,1.4451534108434316
0.09301738868898941,1.380278549363993
0.09508444177096695,1.322058677114569
0.0971514948529445,1.272149281442239
0.09921854793492205,1.2175338580450443
0.10128560101689958,1.1534646358248892
0.10335265409887713,1.0895239339281488
0.10541970718085467,1.0300770323576671
0.10748676026283221,0.9761465067105064
0.10955381334480975,0.9223864001940001
0.1116208664267873,0.868632114114348
0.11368791950876483,0.8198448456275855
0.11575497259074238,0.7779525088719765
0.11782202567271992,0.7427542262246334
0.11988907875469747,0.7078483342251047
0.121956131836675,0.6734393066562916
0.12402318491865255,0.6454085049941796
0.1260902380006301,0.6252191764569943
0.12815729108260762,0.6100197828710634
0.13022434416458517,0.5913149635797481
0.13229139724656272,0.5702756759325212
0.13435845032854027,0.5535696723937917
0.13642550341051782,0.5421990938035606
0.13849255649249534,0.5327892536912486
0.1405596095744729,0.520407005068364
0.14262666265645044,0.506972140654625
0.14469371573842799,0.495921194040875
0.1467607688204055,0.48773499196954617
0.14882782190238306,0.48008027337584736
0.1508948749843606,0.4709442440791918
0.15296192806633815,0.46209697827714535
0.15502898114831568,0.4553248971709536
0.15709603423029322,0.4509360126196498
0.15916308731227077,0.4461694197611905
0.16123014039424832,0.4396854926579863
0.16329719347622584,0.4333455542991942
0.1653642465582034,0.4280476102812827
0.16743129964018094,0.4239586406673652
0.1694983527221585,0.4192887087693862
0.17156540580413604,0.4135796460000165
0.17363245888611356,0.40822355621276074
0.1756995119680911,0.40358379239614806
0.17776656505006866,0.3996617123073065
0.1798336181320462,0.3954965823340899
0.18190067121402373,0.3910384299628049
0.18396772429600128,0.38712082128620295
0.18603477737797883,0.3840984459615129
0.18810183045995638,0.3816954006646256
0.1901688835419339,0.37895993025324515
0.19223593662391145,0.3759816222735708
0.194302989705889,0.37386962133257384
0.19637004278786654,0.3735313436227443
0.1984370958698441,0.3735902140527969
0.20050414895182161,0.372111842307163
0.20257120203379916,0.3693810444846122
0.2046382551157767,0.3666702134570414
0.20670530819775426,0.3645516347415878
0.20877236127973178,0.36186019126648716
0.21083941436170933,0.35771000351064686
0.21290646744368688,0.3523751347727284
0.21497352052566443,0.3462529827745584
0.21704057360764195,0.3395599576342647
0.2191076266896195,0.3318381398415795
0.22117467977159705,0.32288419445308136
0.2232417328535746,0.3131787132829231
0.22530878593555212,0.30311433202018634
0.22737583901752967,0.2928641153704348
0.22944289209950722,0.28227031413928216
0.23150994518148477,0.27139511583789044
0.23357699826346232,0.2605780787787353
0.23564405134543984,0.24993701497498932
0.23771110442741739,0.23967156146352409
0.23977815750939493,0.22988990630767603
0.24184521059137248,0.220719955958657
0.24391226367335,0.2124256367238786
0.24597931675532755,0.20495951643738408
0.2480463698373051,0.19853120652817324
0.2501134229192826,0.19322566712048683
0.2521804760012602,0.18914966577654013
0.2542475290832377,0.1865502654992497
0.25631458216521524,0.1852473559106329
0.2583816352471928,0.1849831666455657
0.26044868832917034,0.1847963842237732
0.2625157414111479,0.18489771275460498
0.26458279449312544,0.18617828800677216
0.26664984757510296,0.188550121349067
0.26871690065708054,0.19135050190891434
0.27078395373905806,0.19362790159436827
0.27285100682103564,0.19578322530537662
0.27491805990301316,0.1983133694927801
0.2769851129849907,0.20113151736802592
0.27905216606696825,0.20424364550046903
0.2811192191489458,0.20758679222808496
0.2831862722309233,0.21119187026874897
0.2852533253129009,0.21466217962074552
0.2873203783948784,0.21794758790179003
0.28938743147685597,0.22144653787745483
0.2914544845588335,0.2251876343349295
0.293521537640811,0.2291446988252801
0.2955885907227886,0.23318431687323482
0.2976556438047661,0.2372259358055544
0.2997226968867437,0.24136598457459968
0.3017897499687212,0.24555077266415992
0.30385680305069873,0.2495890559438294
0.3059238561326763,0.2532083810697259
0.30799090921465383,0.25644564182482554
0.31005796229663135,0.25977525529651757
0.3121250153786089,0.2631534505740092
0.31419206846058645,0.26617277874390766
0.316259121542564,0.26847074014665395
0.31832617462454155,0.27039331640503406
0.32039322770651907,0.27282630655656703
0.32246028078849664,0.27566800789941226
0.32452733387047417,0.2783183850652904
0.3265943869524517,0.2805156907068067
0.32866144003442926,0.2826432371290366
0.3307284931164068,0.2852150350405509
0.33279554619838436,0.28806607048579735
0.3348625992803619,0.2908138077619924
0.3369296523623394,0.2933130784425657
0.338996705444317,0.29586032868701295
0.3410637585262945,0.29867717455329057
0.3431308116082721,0.30157300377072715
0.3451978646902496,0.30410849993302236
0.3472649177722271,0.306177750029633
0.3493319708542047,0.3086257541249324
0.3513990239361822,0.31183550632147217
0.35346607701815974,0.31537992608082277
0.3555331301001373,0.31877224238940016
0.35760018318211484,0.3219860033650548
0.3596672362640924,0.3254103817125724
0.36173428934606994,0.3290445136873359
0.36380134242804746,0.3327414144876002
0.36586839551002504,0.33634157624715044
0.36793544859200256,0.33979453384051794
0.37000250167398013,0.34334591376625667
0.37206955475595765,0.34696005953469466
0.3741366078379352,0.35028704610931527
0.37620366091991275,0.3528676056926088
0.3782707140018903,0.3549928943912164
0.3803377670838678,0.35756519595497593
0.38240482016584537,0.3605121357331882
0.3844718732478229,0.36334748683088947
0.38653892632980047,0.3658245760685759
0.388605979411778,0.36823969956526525
0.3906730324937555,0.3711229431577294
0.3927400855757331,0.37432624679206583
0.3948071386577106,0.3774297533225308
0.3968741917396882,0.38027245951911937
0.3989412448216657,0.3831129489531122
0.40100829790364323,0.3861971620386839
0.4030753509856208,0.389355501742898
0.4051424040675983,0.3925018186697571
0.40720945714957585,0.39557070920955084
0.4092765102315534,0.39868395399662404
0.41134356331353095,0.40194748900739796
0.4134106163955085,0.4050793995525055
0.41547766947748604,0.40791508483619054
0.41754472255946357,0.4103938335274506
0.41961177564144114,0.41283379968342615
0.42167882872341866,0.41535296818562983
0.4237458818053962,0.4176431223579584
0.42581293488737376,0.4196619374852162
0.4278799879693513,0.4213524813865206
0.42994704105132886,0.4226920267407195
0.4320140941333064,0.42366101538993917
0.4340811472152839,0.4241556951255916
0.4361482002972615,0.4241040117665307
0.438215253379239,0.42360069841492987
0.4402823064612166,0.4232451507583619
0.4423493595431941,0.4230832117511909
0.4444164126251716,0.4227197499299109
0.4464834657071492,0.4221933104403206
0.4485505187891267,0.42156173274054254
0.45061757187110424,0.4210247833499352
0.4526846249530818,0.4205607536836169
0.45475167803505934,0.4200082813457584
0.4568187311170369,0.4193944580463267
0.45888578419901443,0.4188213557316658
0.46095283728099196,0.4184451724021301
0.46301989036296953,0.4182169643495399
0.46508694344494705,0.41809154630050216
